species_id,common_name,scientific_name,family,covered,coverage_tier,primary_source,source_scope,source_recording_id,source_url,audio_url,license_name,license_url,quality,recordist,sound_type,commercial_allowed,derivatives_allowed,requires_share_alike,manual_qc_required,confidence,notes,candidate_count
1042,Abert's Towhee,Melozone aberti,Towhees and Sparrows (Passerellidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 305837812 / sound 1602283,https://www.inaturalist.org/observations/305837812,https://static.inaturalist.org/sounds/1602283.wav?1755024762,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) nebrooks, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,5
681,Acadian Flycatcher,Empidonax virescens,Tyrant Flycatchers (Tyrannidae),yes,strict_safe_ab,xeno-canto,americas,XC690685,https://xeno-canto.org/690685,https://xeno-canto.org/690685/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Andres Felipe Espinosa,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,9
595,Acorn Woodpecker,Melanerpes formicivorus,Woodpeckers and Allies (Picidae),yes,strict_safe_ab,xeno-canto,americas,XC110258,https://xeno-canto.org/110258,https://xeno-canto.org/110258/download,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,B,Jonathon Jongsma,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,2
129,African Collared-Dove (1969-1994),Streptopelia roseogrisea,Pigeons and Doves (Columbidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 54067285 / sound 123829,https://www.inaturalist.org/observations/54067285,https://static.inaturalist.org/sounds/123829.m4a?1595521696,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Brush F, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,3
900,African Silverbill,Euodice cantans,Waxbills (Estrildidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 327059243 / sound 1696923,https://www.inaturalist.org/observations/327059243,https://static.inaturalist.org/sounds/1696923.mp3?1763437278,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Damien Wallace, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,1
424,Ainley's Storm-Petrel,Hydrobates cheimomnestes,Northern Storm-Petrels (Hydrobatidae),no,missing,,,,,,,,,,,,,,,,,0
963,Akekee,Loxops caeruleirostris,Fringilline and Cardueline Finches and Allies (Fringillidae),no,missing,,,,,,,,,,,,,,,,,0
952,Akiapolaau,Hemignathus wilsoni,Fringilline and Cardueline Finches and Allies (Fringillidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 343759087 / sound 1812457,https://www.inaturalist.org/observations/343759087,https://static.inaturalist.org/sounds/1812457.mp3?1773898296,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Damien Wallace, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,4
929,Akikiki,Oreomystis bairdi,Fringilline and Cardueline Finches and Allies (Fringillidae),no,missing,,,,,,,,,,,,,,,,,0
940,Akohekohe,Palmeria dolei,Fringilline and Cardueline Finches and Allies (Fringillidae),no,missing,,,,,,,,,,,,,,,,,0
682,Alder Flycatcher,Empidonax alnorum,Tyrant Flycatchers (Tyrannidae),yes,strict_safe_ab,xeno-canto,americas,XC179600,https://xeno-canto.org/179600,https://xeno-canto.org/179600/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Jonathon Jongsma,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,6
343,Aleutian Tern,Onychoprion aleuticus,"Gulls, Terns, and Skimmers (Laridae)",no,missing,,,,,,,,,,,,,,,,,0
176,Allen's Hummingbird,Selasphorus sasin,Hummingbirds (Trochilidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 299718946 / sound 1576309,https://www.inaturalist.org/observations/299718946,https://static.inaturalist.org/sounds/1576309.m4a?1753064298,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) hyaeth, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,4
1061,Altamira Oriole,Icterus gularis,Blackbirds (Icteridae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 325040113 / sound 1686908,https://www.inaturalist.org/observations/325040113,https://static.inaturalist.org/sounds/1686908.m4a?1762356666,CC0,https://creativecommons.org/publicdomain/zero/1.0/,research-grade,no rights reserved,bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,4
852,Amaui,Myadestes woahensis,Thrushes (Turdidae),no,missing,,,,,,,,,,,,,,,,,0
590,Amazon Kingfisher,Chloroceryle amazona,Kingfishers (Alcedinidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 122012034 / sound 473250,https://www.inaturalist.org/observations/122012034,https://static.inaturalist.org/sounds/473250.m4a?1655385611,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Eduardo Luis Beltrocco, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,3
215,American Avocet,Recurvirostra americana,Stilts and Avocets (Recurvirostridae),yes,strict_safe_ab,xeno-canto,americas,XC99571,https://xeno-canto.org/99571,https://xeno-canto.org/99571/download,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,A,Jonathon Jongsma,alarm call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,3
562,American Barn Owl,Tyto furcata,Barn Owls (Tytonidae),yes,strict_safe_ab,xeno-canto,americas,XC611957,https://xeno-canto.org/611957,https://xeno-canto.org/611957/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,B,Alexandra Liberato,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,1
502,American Bittern,Botaurus lentiginosus,"Bitterns, Herons, and Allies (Ardeidae)",yes,strict_safe_ab,xeno-canto,americas,XC451067,https://xeno-canto.org/451067,https://xeno-canto.org/451067/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Justin Watts,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,3
39,American Black Duck,Anas rubripes,"Ducks, Geese, and Swans (Anatidae)",yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 245236584 / sound 1220267,https://www.inaturalist.org/observations/245236584,https://static.inaturalist.org/sounds/1220267.wav?1727879258,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) er-birds, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,2
205,American Coot,Fulica americana,"Rails, Gallinules, and Coots (Rallidae)",yes,strict_safe_public_domain,National Park Service,official public-domain page,,https://www.nps.gov/yell/learn/photosmultimedia/soundlibrary.htm,,Public domain / NPS credit requested,https://www.nps.gov/subjects/sound/gallery.htm,official,National Park Service,bird sound,yes,yes,no,no,high,Official NPS public-domain sound listing; exact/common-name normalized match.,1
735,American Crow,Corvus brachyrhynchos,Jays and Crows (Corvidae),yes,strict_safe_ab,xeno-canto,americas,XC1031083,https://xeno-canto.org/1031083,https://xeno-canto.org/1031083/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Doug Hynes,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,18
845,American Dipper,Cinclus mexicanus,Dippers (Cinclidae),yes,strict_safe_public_domain,National Park Service,official public-domain page,,https://www.nps.gov/yell/learn/photosmultimedia/soundlibrary.htm,,Public domain / NPS credit requested,https://www.nps.gov/subjects/sound/gallery.htm,official,National Park Service,bird sound,yes,yes,no,no,high,Official NPS public-domain sound listing; exact/common-name normalized match.,1
102,American Flamingo,Phoenicopterus ruber,Flamingos (Phoenicopteridae),yes,strict_safe_ab,xeno-canto,americas,XC737280,https://xeno-canto.org/737280,https://xeno-canto.org/737280/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Justin Watts,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,1
221,American Golden-Plover,Pluvialis dominica,Lapwings and Plovers (Charadriidae),yes,strict_safe_ab,xeno-canto,americas,XC934270,https://xeno-canto.org/934270,https://xeno-canto.org/934270/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Doug Hynes,"call, song",yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,2
987,American Goldfinch,Spinus tristis,Fringilline and Cardueline Finches and Allies (Fringillidae),yes,strict_safe_ab,xeno-canto,americas,XC428425,https://xeno-canto.org/428425,https://xeno-canto.org/428425/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Jonathon Jongsma,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,10
535,American Goshawk,Astur atricapillus,"Hawks, Kites, Eagles, and Allies (Accipitridae)",yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 310265294 / sound 1620143,https://www.inaturalist.org/observations/310265294,https://static.inaturalist.org/sounds/1620143.wav?1756577759,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Peter Abrahamsen, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,13
387,American Herring Gull,Larus smithsonianus,"Gulls, Terns, and Skimmers (Laridae)",yes,strict_safe_ab,xeno-canto,americas,XC1036311,https://xeno-canto.org/1036311,https://xeno-canto.org/1036311/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Doug Hynes,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,2
621,American Kestrel,Falco sparverius,Caracaras and Falcons (Falconidae),yes,strict_safe_ab,xeno-canto,americas,XC254589,https://xeno-canto.org/254589,https://xeno-canto.org/254589/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Jonathon Jongsma,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,4
217,American Oystercatcher,Haematopus palliatus,Oystercatchers (Haematopodidae),yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 164877071 / sound 721910,https://www.inaturalist.org/observations/164877071,https://static.inaturalist.org/sounds/721910.wav?1685651920,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) David Weisenbeck, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,3
920,American Pipit,Anthus rubescens,Wagtails and Pipits (Motacillidae),yes,strict_safe_ab,xeno-canto,americas,XC111043,https://xeno-canto.org/111043,https://xeno-canto.org/111043/download,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,B,Jonathon Jongsma,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,4
1101,American Redstart,Setophaga ruticilla,Wood-Warblers (Parulidae),yes,strict_safe_ab,xeno-canto,americas,XC179661,https://xeno-canto.org/179661,https://xeno-canto.org/179661/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Jonathon Jongsma,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,16
875,American Robin,Turdus migratorius,Thrushes (Turdidae),yes,strict_safe_ab,xeno-canto,americas,XC954703,https://xeno-canto.org/954703,https://xeno-canto.org/954703/download,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,A,Anonymous,song,yes,yes,no,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,21
603,American Three-toed Woodpecker,Picoides dorsalis,Woodpeckers and Allies (Picidae),yes,strict_safe_ab,xeno-canto,americas,XC613386,https://xeno-canto.org/613386,https://xeno-canto.org/613386/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Doug Hynes,call,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,2
1021,American Tree Sparrow,Spizelloides arborea,Towhees and Sparrows (Passerellidae),yes,strict_safe_ab,xeno-canto,americas,XC568655,https://xeno-canto.org/568655,https://xeno-canto.org/568655/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Doug Hynes,song,yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,10
498,American White Pelican,Pelecanus erythrorhynchos,Pelicans (Pelecanidae),yes,strict_safe_any_quality,xeno-canto,americas,XC175257,https://xeno-canto.org/175257,https://xeno-canto.org/175257/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,D,Jonathon Jongsma,"call, wing noise",yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,2
33,American Wigeon,Mareca americana,"Ducks, Geese, and Swans (Anatidae)",yes,candidate_safe_research_grade,iNaturalist,research-grade exact taxon sound,iNat observation 303558208 / sound 1592334,https://www.inaturalist.org/observations/303558208,https://static.inaturalist.org/sounds/1592334.wav?1754258656,CC-BY,https://creativecommons.org/licenses/by/4.0/,research-grade,"(c) Liam Steele, some rights reserved (CC BY)",bird sound,yes,yes,no,yes,candidate,License-safe iNaturalist research-grade observation with exact taxon match; listen before shipping.,8
283,American Woodcock,Scolopax minor,"Sandpipers, Phalaropes, and Allies (Scolopacidae)",yes,strict_safe_ab,xeno-canto,americas,XC544586,https://xeno-canto.org/544586,https://xeno-canto.org/544586/download,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,A,Justin Watts,"call, song",yes,yes,yes,no,high,Exact scientific-name match from Xeno-canto with commercial-safe Creative Commons license.,11
166,Amethyst-throated Mountain-gem,Lampornis amethystinus,Hummingbirds (Trochilidae),no,missing,,,,,,,,,,,,,,,,,0
325,Ancient Murrelet,Synthliboramphus antiquus,"Auks, Murres, and Puffins (Alcidae)",no,missing,,,,,,,,,,,,,,,,,0
